PcHyp_1	PcHyp_2	PcHyp_3	LaPc18_1	LaPc18_2	LaPc18_3	LaPc30_1	LaPc30_2	LaPc30_3	LaPc48_1	LaPc48_2	LaPc48_3
IUM83_02956	2549	2249	2511	11	17	4	162	249	93	466	764	535
IUM83_02957	909	820	1170	2	5	3	74	83	39	145	250	262
IUM83_02958	421	364	379	0	0	0	0	4	3	25	30	22
IUM83_02959	979	862	1004	21	21	5	175	231	86	845	769	550
IUM83_02960	621	480	590	54	68	13	843	876	283	862	1294	1337
IUM83_02961	132	103	75	3	3	0	24	25	7	58	105	117
IUM83_02962	910	800	1040	36	100	24	386	233	128	220	314	293
IUM83_02963	1230	913	1184	0	0	0	0	4	0	64	127	135
IUM83_02964	189	144	234	0	0	0	0	0	1	5	12	24
IUM83_02965	790	874	952	3	4	4	71	70	20	126	283	244
IUM83_02966	438	411	428	1	1	4	10	30	11	54	93	61
IUM83_02967	33	45	46	0	0	0	3	2	1	5	6	7
IUM83_02968	1013	960	917	6	11	6	82	99	38	164	228	198
IUM83_02969	1212	979	1104	8	8	7	72	84	20	201	235	151
IUM83_02970	21	21	27	0	0	0	0	0	0	2	4	1
IUM83_02971	1910	1506	1836	3	10	5	220	253	59	508	986	1087
IUM83_02972	421	476	540	59	93	32	445	291	158	267	355	386
IUM83_02973	14	15	7	0	0	0	1	0	0	2	3	1
IUM83_02974	2424	2210	3505	29	72	18	484	476	202	523	941	908
IUM83_02975	85778	87670	78074	2637	4220	1234	19326	16660	7685	28377	38529	27155
IUM83_02976	2439	2391	2998	19	14	7	222	139	58	281	453	510
IUM83_02977	55	55	107	0	0	0	0	2	1	1	4	6
IUM83_02978	2483	1731	2522	10	6	4	110	101	54	108	174	181
IUM83_02979	1341	1009	1286	5	6	0	23	42	15	97	144	92
IUM83_02980	9	8	26	0	0	0	0	0	0	22	54	12
IUM83_02981	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_02982	14070	12838	13552	0	0	0	45	65	8	636	1624	1072
IUM83_02983	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_02984	805	689	797	5	12	5	73	60	24	142	176	133
IUM83_02985	276	202	217	4	2	2	22	12	6	35	43	23
IUM83_02986	212	180	202	1	1	0	10	16	8	25	27	20
IUM83_02987	602	567	740	119	221	77	671	430	277	371	474	319
IUM83_02988	902	699	740	48	79	26	352	251	116	174	243	254
IUM83_02989	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_02990	4433	3416	3943	13	10	6	143	145	61	402	822	367
IUM83_02991	120	85	90	0	0	0	0	1	2	2	16	5
IUM83_02992	323	245	166	10	8	0	201	186	58	426	694	480
IUM83_02993	3	1	2	0	0	0	0	0	0	0	1	0
IUM83_02994	2	0	0	0	0	0	0	0	0	0	0	0
IUM83_02995	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_02996	222	205	204	2	4	0	16	10	8	35	49	35
IUM83_02997	224	261	209	0	4	0	17	17	3	27	55	27
IUM83_02998	12	10	4	0	0	0	1	1	0	0	2	1
IUM83_02999	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03000	787	738	574	11	10	3	93	79	40	209	365	252
IUM83_03001	10620	8684	10076	15	20	5	235	262	104	1255	1572	1201
IUM83_03002	2000	1529	1707	14	12	2	64	90	40	215	301	217
IUM83_03003	3052	2774	2904	43	33	15	278	325	142	425	816	593
IUM83_03004	2763	2716	2231	53	61	20	368	317	145	413	630	457
IUM83_03005	862	626	888	2	5	0	38	74	14	275	324	309
IUM83_03006	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03007	0	0	0	0	0	0	0	0	0	0	0	2
IUM83_03008	2065	1600	2074	10	8	5	73	68	19	231	364	253
IUM83_03009	3022	2437	2950	19	31	7	205	200	63	403	462	425
IUM83_03010	13	19	14	0	1	0	4	1	2	6	9	5
IUM83_03011	1904	1762	1844	45	42	9	245	259	103	362	453	437
IUM83_03012	2	0	1	0	0	0	0	0	0	0	4	0
IUM83_03013	92	63	69	0	1	0	31	73	16	92	104	74
IUM83_03014	8	2	6	0	0	0	3	0	1	3	11	5
IUM83_03015	40	17	35	0	3	0	1	2	1	9	11	2
IUM83_03016	2935	2710	3304	121	186	60	1098	712	375	669	1368	1099
IUM83_03017	250	178	284	0	0	0	0	0	0	9	16	32
IUM83_03018	3506	2911	3090	42	58	25	366	283	142	451	747	609
IUM83_03019	5427	6207	4886	10	31	10	198	302	76	695	928	553
IUM83_03020	116	144	135	0	0	0	0	0	0	1	6	19
IUM83_03021	758	631	1023	3	3	4	43	30	21	72	103	93
IUM83_03022	475	490	503	0	3	1	11	12	8	47	81	53
IUM83_03023	2401	1843	3162	27	34	16	540	400	155	322	686	984
IUM83_03024	1240	1004	1549	44	58	13	330	267	150	198	377	431
IUM83_03025	678	706	646	15	15	5	66	73	34	152	150	154
IUM83_03026	6735	4998	6867	26	34	10	317	287	130	1148	1255	1010
IUM83_03027	13	6	12	0	0	0	0	2	0	6	0	3
IUM83_03028	3565	6367	3258	14	15	11	270	228	92	482	681	745
IUM83_03029	49143	47363	51124	6	10	3	689	675	190	1113	4143	2205
IUM83_03030	1960	1864	2108	7	4	4	66	70	24	256	456	346
IUM83_03031	4339	3775	3964	116	170	47	934	751	339	811	1392	1189
IUM83_03032	705	642	751	85	177	48	390	284	145	223	231	228
IUM83_03033	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03034	0	0	1	0	0	0	0	0	0	3	2	1
IUM83_03035	1	1	1	0	0	0	0	1	0	1	2	0
IUM83_03036	144	100	93	1	2	0	8	11	9	23	24	12
IUM83_03037	2351	2411	2031	43	66	24	344	349	113	580	1028	616
IUM83_03038	1211	1077	1072	24	24	11	189	164	55	272	399	267
IUM83_03039	4993	4440	4824	83	90	29	592	522	258	1099	1870	1178
IUM83_03040	6824	6172	5464	9	28	6	150	233	63	625	1109	845
IUM83_03041	0	1	0	0	0	0	1	0	0	1	1	0
IUM83_03042	190	261	262	4	6	1	26	16	4	26	38	22
IUM83_03043	6073	4587	5840	71	90	27	635	560	249	1115	1052	967
IUM83_03044	1316	1149	1289	13	11	0	141	131	60	218	333	247
IUM83_03045	15	14	12	0	0	0	0	1	0	0	3	1
IUM83_03046	2127	1795	1914	17	40	12	208	169	88	303	457	295
IUM83_03047	1143	1050	1290	2	0	0	62	88	33	241	395	326
IUM83_03048	2089	1786	2032	0	0	0	5	14	1	35	69	65
IUM83_03049	425	328	292	4	11	4	47	60	15	142	248	187
IUM83_03050	376	331	293	1	0	0	7	9	2	27	55	35
IUM83_03051	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03052	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03053	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03054	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03055	0	0	0	1	2	0	1	1	1	0	0	0
IUM83_03056	78	83	76	6	4	7	32	22	26	30	40	40
IUM83_03057	2	1	3	3	2	2	13	10	4	14	13	1
IUM83_03058	4	7	0	0	0	0	0	0	0	0	0	3
IUM83_03059	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03060	184	130	164	0	2	0	8	5	0	35	49	27
IUM83_03061	408	356	383	6	3	6	21	21	6	55	64	46
IUM83_03062	49737	51930	48903	2011	3522	1176	15069	12115	5700	20075	29652	20213
IUM83_03063	286	337	255	0	24	2	73	47	25	47	62	72
IUM83_03064	184	118	184	0	5	1	34	19	7	32	50	41
IUM83_03065	14	15	18	14	22	17	41	42	11	31	44	45
IUM83_03066	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03067	0	0	1	0	0	0	0	0	0	0	0	0
IUM83_03068	919	769	880	7	11	6	83	75	35	101	146	92
IUM83_03069	1214	1115	1344	56	91	19	354	277	170	376	578	445
IUM83_03070	138	125	173	2	0	2	10	5	5	13	15	9
IUM83_03071	919	799	861	17	16	11	127	103	52	73	140	151
IUM83_03072	37	41	53	0	0	0	0	0	0	6	6	3
IUM83_03073	184	135	142	2	7	2	24	14	3	30	68	54
IUM83_03074	421	356	358	6	3	2	55	44	12	106	159	130
IUM83_03075	15923	13588	17908	51	106	32	646	588	293	1266	1735	1326
IUM83_03076	821	928	665	3	3	1	41	31	10	30	73	49
IUM83_03077	6319	5843	4800	21	34	6	273	253	79	229	419	351
IUM83_03078	4946	4299	3158	12	19	2	101	110	53	158	213	172
IUM83_03079	19	14	18	13	4	2	26	17	11	8	18	25
IUM83_03080	288	146	215	6	15	1	58	43	15	48	90	74
IUM83_03081	336	125	213	0	0	0	7	2	3	1	8	8
IUM83_03082	261	189	208	8	14	4	123	126	56	104	159	149
IUM83_03083	274	177	116	0	0	0	34	44	10	117	157	120
IUM83_03084	78	108	81	0	2	0	6	4	0	7	23	18
IUM83_03085	11957	9213	11000	61	97	31	1154	1016	436	2129	3125	2303
IUM83_03086	15	8	10	0	0	0	0	0	0	0	0	3
IUM83_03087	17	7	10	0	1	0	0	0	0	0	2	1
IUM83_03088	21876	24218	21087	0	2	5	29	139	10	1408	4327	6201
IUM83_03089	330	271	343	3	3	3	16	46	5	244	289	93
IUM83_03090	974	1136	746	22	19	13	116	99	44	219	284	211
IUM83_03091	6688	5749	6820	100	186	42	1347	970	474	1089	1881	1681
IUM83_03092	78	72	122	0	0	0	0	1	1	16	10	7
IUM83_03093	893	728	892	25	36	14	138	84	45	133	178	133
IUM83_03094	0	0	0	0	0	0	0	0	0	1	1	0
IUM83_03095	2	8	4	0	0	0	0	0	0	0	0	0
IUM83_03096	5	9	5	0	0	0	0	0	0	0	0	0
IUM83_03097	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03098	5	0	7	1	0	0	0	1	0	0	6	1
IUM83_03099	1	0	1	0	0	0	0	0	0	0	0	0
IUM83_03100	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03101	86	53	77	1	3	0	1	2	0	1	14	7
IUM83_03102	1	3	7	0	0	0	0	0	0	0	0	0
IUM83_03103	241	214	253	0	0	0	16	39	16	58	89	64
IUM83_03104	0	2	1	0	0	0	0	0	0	0	1	0
IUM83_03105	658	504	292	0	3	0	14	20	3	21	75	41
IUM83_03106	135	60	70	0	0	0	1	1	2	13	16	3
IUM83_03107	0	1	0	0	0	0	0	0	0	0	0	0
IUM83_03108	124	109	194	5	10	6	24	17	12	10	18	20
IUM83_03109	94	71	26	0	0	0	9	9	3	6	14	7
IUM83_03110	4	2	0	0	0	0	1	2	0	3	4	4
IUM83_03111	14061	8644	13869	416	595	199	6244	4829	2440	4467	7985	5426
IUM83_03112	4000	3538	3747	75	121	46	704	530	277	668	1142	888
IUM83_03113	26010	27888	24651	1099	1737	531	8408	6154	2672	10384	12690	11752
IUM83_03114	2570	1778	2687	17	23	9	160	232	65	331	528	376
IUM83_03115	6778	5745	5698	57	86	33	455	348	164	593	865	691
IUM83_03116	214	220	202	1	0	0	2	0	1	5	9	8
IUM83_03117	359	390	440	0	0	0	2	0	0	18	21	15
IUM83_03118	4141	3404	3635	1	2	3	53	142	25	806	854	699
IUM83_03119	66	87	88	0	0	0	0	1	0	3	5	2
IUM83_03120	1778	1548	1898	11	11	1	87	110	29	339	616	498
IUM83_03121	996	1014	1017	5	7	4	71	62	20	273	503	361
IUM83_03122	11838	9863	11323	41	63	28	694	717	234	1886	3600	2293
IUM83_03123	5534	5358	7010	134	240	69	1784	1454	633	1594	2800	2961
IUM83_03124	647	615	683	4	2	0	4	7	4	5	24	32
IUM83_03125	4409	3653	5083	179	229	72	1068	722	406	952	1357	1351
IUM83_03126	609	446	702	36	47	12	209	122	70	187	219	261
IUM83_03127	2177	1642	1916	33	42	10	290	266	92	372	557	493
IUM83_03128	51	57	37	0	0	0	1	1	1	16	8	5
IUM83_03129	6972	6420	6517	1	0	0	9	10	2	135	392	182
IUM83_03130	141	112	115	0	0	0	0	0	0	11	10	5
IUM83_03131	26	25	13	0	0	0	0	0	0	1	1	0
IUM83_03132	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03133	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03134	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03135	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03136	916	755	983	7	13	5	76	54	31	97	149	110
IUM83_03137	8	12	14	5	11	2	91	53	29	81	104	71
IUM83_03138	30	23	32	0	1	0	9	5	0	3	11	5
IUM83_03139	329	241	322	23	34	16	93	96	35	80	112	55
IUM83_03140	68	71	31	0	0	0	2	6	1	11	10	8
IUM83_03141	678	613	795	56	65	22	277	186	111	165	265	210
IUM83_03142	7469	6101	6148	21	46	26	272	279	116	1043	1422	973
IUM83_03143	5384	2923	4920	7	4	0	426	405	132	4350	7725	2830
IUM83_03144	3056	2635	3751	14	17	1	122	132	62	299	452	365
IUM83_03145	696	561	836	51	111	32	304	256	165	191	334	263
IUM83_03146	1263	1340	1275	6	21	9	96	82	54	239	347	282
IUM83_03147	1779	1128	1748	6	8	5	89	137	37	442	667	441
IUM83_03148	1912	1758	1690	24	38	8	208	261	83	559	788	423
IUM83_03149	11617	9881	9449	82	118	31	912	823	358	1788	2770	1882
IUM83_03150	19331	23141	16970	917	1714	579	6942	5275	2561	9170	12698	10147
IUM83_03151	40898	41683	35498	1227	1975	572	7970	7350	3813	11324	16446	10440
IUM83_03152	462	483	568	0	0	0	0	1	0	31	117	152
IUM83_03153	2	7	0	0	0	0	0	0	0	0	2	3
IUM83_03154	98	113	83	0	0	0	0	0	0	5	9	10
IUM83_03155	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03156	5	0	6	0	0	0	0	0	0	0	0	0
IUM83_03157	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03158	4	2	1	0	0	0	0	0	0	0	0	0
IUM83_03159	8	1	3	120	189	67	752	574	405	602	566	831
IUM83_03160	2	0	3	126	180	37	2092	2139	916	2916	4161	4159
IUM83_03161	1983	1591	1847	33	60	16	223	136	76	200	282	187
IUM83_03162	5215	4985	5176	205	288	95	1530	1071	562	1234	1633	1509
IUM83_03163	2261	1971	2327	51	64	13	423	331	169	454	684	638
IUM83_03164	4532	4718	5676	16	24	16	162	145	48	333	488	396
IUM83_03165	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_03166	2702	2134	2272	13	26	10	105	72	50	80	158	151
IUM83_03167	16389	13887	15702	110	134	52	927	729	355	1153	1895	1395
IUM83_03168	729	650	785	128	156	61	568	359	257	343	412	358
IUM83_03169	72	48	60	0	1	0	6	1	2	3	9	8
IUM83_03170	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03171	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03172	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03173	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03174	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03175	22	10	11	0	0	0	8	8	2	10	13	9
IUM83_03176	75	108	55	1	6	0	13	11	2	24	41	35
IUM83_03177	3	3	1	0	0	0	0	0	0	0	0	0
IUM83_03178	1480	1132	1194	5	10	1	121	129	33	271	428	211
IUM83_03179	24	21	11	361	460	207	1217	905	607	765	881	848
IUM83_03180	1	1	0	1	2	2	1	1	0	1	0	2
IUM83_03181	2	2	3	5	20	5	205	162	106	82	58	53
IUM83_03182	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_03183	1	0	0	0	0	0	2	0	4	0	0	2
IUM83_03184	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03185	0	0	0	0	0	0	1	4	1	2	2	3
IUM83_03186	4	12	14	0	0	0	0	0	0	0	0	0
IUM83_03187	7	7	9	0	0	0	0	0	0	1	3	0
IUM83_03188	103	60	32	1	0	3	2	3	2	14	5	6
IUM83_03189	98	99	69	2	5	0	44	30	20	73	95	72
IUM83_03190	1	0	2	0	0	0	0	1	0	0	0	0
IUM83_03191	5	6	7	0	0	0	0	1	1	0	1	5
IUM83_03192	12	8	12	20	24	5	130	100	52	164	199	183
IUM83_03193	1904	2148	2578	218	383	115	1121	648	451	759	919	699
IUM83_03194	73	131	78	0	0	0	6	9	0	60	71	92
IUM83_03195	2	7	3	0	0	0	0	1	0	0	0	0
IUM83_03196	2	0	0	0	0	0	0	0	0	0	0	0
IUM83_03197	0	2	1	0	0	0	0	0	0	0	0	0
IUM83_03198	51	32	38	3	2	2	15	10	1	21	32	18
IUM83_03199	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03200	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03201	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03202	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03203	46	70	13	0	3	0	2	4	0	5	13	3
IUM83_03204	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03205	8	11	5	0	0	0	0	0	0	0	0	1
IUM83_03206	56	46	72	0	0	0	0	0	0	1	1	7
IUM83_03207	4	2	2	0	0	0	0	0	0	0	0	0
IUM83_03208	892	436	363	6	5	1	39	27	17	221	230	215
IUM83_03209	164	157	172	0	1	1	10	19	7	21	30	26
IUM83_03210	512	517	646	3	15	2	76	39	29	108	178	138
IUM83_03211	3264	2441	3187	25	36	8	272	264	139	487	726	553
IUM83_03212	34942	38146	30754	1542	2448	733	10952	9588	4360	15622	22177	16320
IUM83_03213	432	332	438	1	1	1	6	9	14	33	47	38
IUM83_03214	4376	3466	4528	286	539	185	1276	861	583	963	1577	973
IUM83_03215	8	6	12	0	0	0	0	0	0	0	1	0
IUM83_03216	12991	11161	11705	18	38	20	397	385	160	2090	2355	1394
IUM83_03217	478	464	271	1	2	1	5	14	8	36	43	26
IUM83_03218	601	509	591	6	5	6	43	37	26	76	110	83
IUM83_03219	609	574	595	43	106	33	303	248	124	175	258	200
IUM83_03220	1291	919	1169	20	35	4	152	87	53	189	240	232
IUM83_03221	10401	8436	9031	141	185	47	1554	1407	555	2665	5691	3622
IUM83_03222	1471	1294	1461	13	21	4	145	157	51	258	385	344
IUM83_03223	1474	1307	1315	34	49	14	275	190	95	296	483	362
IUM83_03224	3647	3505	3718	112	229	59	1216	783	328	897	1310	1409
IUM83_03225	1920	1843	1941	47	81	23	387	299	148	451	568	606
IUM83_03226	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03227	39	27	31	5	3	2	21	54	9	106	99	49
IUM83_03228	212	251	301	0	0	0	0	0	0	9	24	22
IUM83_03229	635	526	530	11	20	6	76	101	47	201	255	103
IUM83_03230	569	556	539	5	17	7	77	68	47	240	216	134
IUM83_03231	1086	988	1151	11	29	6	94	87	33	169	188	181
IUM83_03232	2394	2142	2184	61	126	18	669	682	252	1077	1085	864
IUM83_03233	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03234	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03235	0	1	2	44	50	22	217	188	116	366	510	558
IUM83_03236	1	2	3	36	16	11	67	55	47	174	159	148
IUM83_03237	3	4	4	0	0	0	1	0	0	1	1	0
IUM83_03238	3254	3063	3080	25	24	13	183	166	89	372	536	446
IUM83_03239	8070	7192	6652	169	237	80	1287	995	529	1441	2037	1562
IUM83_03240	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03241	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03242	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03243	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03244	138	75	103	0	0	0	4	10	0	6	13	17
IUM83_03245	4611	3901	4409	37	66	14	601	544	208	1125	1739	1482
IUM83_03246	0	0	0	15	21	16	52	45	28	34	51	54
IUM83_03247	463	672	534	18	31	13	348	337	105	215	204	176
IUM83_03248	10	25	15	0	0	0	0	0	0	0	1	0
IUM83_03249	14	25	16	0	0	0	0	0	0	1	0	1
IUM83_03250	4	5	1	0	0	0	0	0	0	0	0	1
IUM83_03251	2	0	1	0	0	0	0	0	0	0	0	0
IUM83_03252	0	2	2	0	0	0	0	0	0	0	0	0
IUM83_03253	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03254	8	6	2	23	36	2	136	119	63	122	219	175
IUM83_03255	103	97	116	0	0	0	19	6	3	7	14	14
IUM83_03256	1101	707	1346	8	8	3	65	73	20	254	290	178
IUM83_03257	0	0	1	0	0	0	0	0	0	0	0	0
IUM83_03258	0	1	0	0	0	0	0	1	0	0	0	0
IUM83_03259	504	479	503	5	9	3	59	40	19	66	116	100
IUM83_03260	1250	1344	1482	8	10	7	110	106	30	164	328	253
IUM83_03261	454	411	423	1	1	5	23	19	16	27	46	66
IUM83_03262	25339	28262	33738	306	439	111	5051	4879	1536	9370	15735	14075
IUM83_03263	14383	14397	15169	216	327	74	2527	2565	1043	3357	5474	3820
IUM83_03264	5	0	0	0	2	0	27	20	3	24	33	31
IUM83_03265	26	45	26	1	0	0	24	39	9	34	53	47
IUM83_03266	2	4	7	1	0	0	21	39	18	28	47	27
IUM83_03267	21	60	20	0	0	0	1	4	2	6	16	62
IUM83_03268	39	108	31	0	0	0	4	2	0	11	23	27
IUM83_03269	317	384	163	0	2	0	174	262	29	774	876	675
IUM83_03270	125	125	92	0	0	0	41	66	7	36	127	95
IUM83_03271	198	149	173	0	1	0	58	115	8	422	657	241
IUM83_03272	28	27	34	0	0	0	1	0	0	4	1	3
IUM83_03273	47562	44196	46985	403	562	146	5756	4138	1919	4397	8612	9969
IUM83_03274	390	449	531	20	39	8	140	63	48	106	137	111
IUM83_03275	6432	4932	4913	6	6	3	77	138	34	607	864	532
IUM83_03276	2322	1967	1838	20	30	8	193	210	83	474	642	485
IUM83_03277	202	215	244	0	3	1	2	5	3	11	41	63
IUM83_03278	764	508	532	14	22	6	106	79	48	109	157	174
IUM83_03279	382	327	326	0	0	0	0	0	0	7	21	21
IUM83_03280	81	71	88	10	17	10	74	49	23	47	64	53
IUM83_03281	101	87	117	0	2	5	7	10	4	6	18	11
IUM83_03282	184	199	175	11	16	6	47	20	15	7	27	51
IUM83_03283	1	1	0	0	0	0	0	0	0	1	1	0
IUM83_03284	6500	5288	6549	80	104	34	716	670	234	988	1414	1020
IUM83_03285	2109	1685	2049	15	25	6	138	98	53	229	281	220
IUM83_03286	844	743	894	47	90	22	262	196	123	198	306	179
IUM83_03287	360	303	251	5	6	3	31	22	10	88	94	71
IUM83_03288	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_03289	2020	2027	2887	858	1378	416	4275	2748	1880	2084	2839	2146
IUM83_03290	258	254	397	0	0	0	0	0	0	18	34	41
IUM83_03291	178	195	196	1	3	0	20	28	15	14	46	26
IUM83_03292	1511	1198	1544	9	13	5	141	170	81	304	471	380
IUM83_03293	10101	9276	9917	452	632	309	2813	2406	1351	3375	3870	3570
IUM83_03294	402	346	484	64	109	29	402	217	121	207	256	328
IUM83_03295	283	257	366	0	0	0	17	2	0	12	18	19
IUM83_03296	31306	32260	30747	1703	2445	797	11695	9440	4175	15446	20847	18247
IUM83_03297	363	333	362	1	2	2	30	35	5	84	83	66
IUM83_03298	1036	758	1435	0	0	0	0	0	0	4	19	19
IUM83_03299	717	693	855	94	158	36	462	282	168	279	436	210
IUM83_03300	1745	1392	1643	3	7	0	25	48	4	191	315	271
IUM83_03301	232	165	207	20	23	6	139	86	38	73	166	104
IUM83_03302	676	470	516	0	0	0	4	6	0	30	132	61
IUM83_03303	2	3	12	0	1	0	1	2	0	14	11	14
IUM83_03304	0	9	6	1	3	0	12	21	10	14	43	33
IUM83_03305	13575	10270	14370	1	0	0	45	79	14	437	868	602
IUM83_03306	7	21	21	0	0	0	2	0	0	3	1	3
IUM83_03307	1093	932	942	1	4	1	74	75	22	110	185	128
IUM83_03308	296	296	283	0	0	0	0	4	4	3	32	19
IUM83_03309	15040	11621	13503	60	101	37	845	907	377	1893	3078	2013
IUM83_03310	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03311	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03312	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03313	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03314	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03315	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03316	0	0	0	0	0	0	0	0	0	1	0	1
IUM83_03317	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03318	47917	46531	45771	120	176	72	1417	1771	515	4581	6570	4558
IUM83_03319	2410	1989	2109	15	23	7	164	149	55	217	310	266
IUM83_03320	1189	1093	1385	11	8	9	69	77	29	157	211	213
IUM83_03321	609	420	321	5	5	2	206	181	62	347	766	572
IUM83_03322	2357	2506	1341	95	128	23	1023	668	306	939	1768	1068
IUM83_03323	1675	1255	1442	24	63	13	229	176	94	236	346	347
IUM83_03324	0	0	0	0	0	0	0	0	0	0	2	0
IUM83_03325	57	65	72	0	2	0	6	0	3	3	19	22
IUM83_03326	1310	1038	1371	27	32	12	117	113	49	104	186	143
IUM83_03327	117	85	155	16	10	7	45	29	23	14	35	25
IUM83_03328	18649	19816	16275	58	60	12	575	750	195	1703	2675	1645
IUM83_03329	4823	4189	4335	79	111	27	771	695	307	1289	1841	1322
IUM83_03330	6888	6119	6035	93	104	34	748	605	303	860	1337	1016
IUM83_03331	2024	1700	1723	35	56	15	270	214	87	349	451	354
IUM83_03332	3055	2801	2835	92	108	26	613	587	243	708	1065	907
IUM83_03333	3974	3105	3611	52	70	26	457	469	200	677	853	670
IUM83_03334	76	52	113	0	0	0	0	0	0	9	11	31
IUM83_03335	705	533	699	8	9	2	45	36	20	117	159	102
IUM83_03336	1157	1363	1208	0	0	0	0	0	0	51	190	195
IUM83_03337	275	241	332	0	0	0	0	0	0	10	35	45
IUM83_03338	62416	61605	55707	2271	3536	1074	16315	14463	6800	24530	36790	24202
IUM83_03339	195	160	130	0	7	0	11	24	2	10	19	30
IUM83_03340	542	480	554	0	0	0	0	0	0	3	23	30
IUM83_03341	81	70	74	0	0	0	1	0	0	2	4	3
IUM83_03342	1077	965	1068	6	17	0	64	71	21	121	183	152
IUM83_03343	1057	904	996	12	10	2	104	91	37	158	221	250
IUM83_03344	1117	966	1031	14	26	9	156	138	56	474	556	341
IUM83_03345	689	573	656	12	21	6	107	79	34	125	160	157
IUM83_03346	1195	1001	961	24	26	7	107	92	52	282	252	216
IUM83_03347	22	29	48	7	6	1	2	7	5	4	6	8
IUM83_03348	9	12	2	0	0	0	0	0	0	0	0	0
IUM83_03349	615	449	613	0	2	0	8	13	4	16	41	41
IUM83_03350	3558	2635	1957	98	115	25	1384	1126	488	722	791	964
IUM83_03351	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03352	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_03353	36	32	36	0	0	0	0	0	0	0	0	0
IUM83_03354	3945	3064	3575	4	10	1	124	141	52	365	506	449
IUM83_03355	1077	949	1072	8	6	1	44	61	15	109	147	144
IUM83_03356	1297	1269	1172	2	7	2	39	49	27	105	153	149
IUM83_03357	12	13	15	0	0	0	0	0	0	0	1	0
IUM83_03358	152	206	118	0	1	0	0	3	4	19	10	9
IUM83_03359	8862	8671	8403	23	55	9	506	592	186	1157	1722	1330
IUM83_03360	612	472	564	2	7	2	36	37	15	77	107	90
IUM83_03361	3409	2401	2715	11	15	5	178	224	81	477	745	477
IUM83_03362	220	183	212	12	25	12	111	63	37	63	105	107
IUM83_03363	560	364	359	4	12	3	79	64	30	111	172	93
IUM83_03364	589	636	652	24	25	3	159	109	57	118	196	165
IUM83_03365	2218	1801	1953	11	43	24	174	148	52	375	550	369
IUM83_03366	72	65	71	3	0	0	1	2	2	11	3	6
IUM83_03367	1902	1483	1341	5	1	0	11	6	2	45	27	32
IUM83_03368	1059	850	1118	15	46	13	117	131	73	130	237	218
IUM83_03369	953	860	863	27	36	4	187	159	77	187	309	256
IUM83_03370	395	397	315	3	4	0	34	23	12	96	83	86
